1128668233820115027-1,0
1206119881575218085-174,1
1955822103969464021-944,2
2349169794698978793-3,3
3025206181189463166-1,4
3093020497862839474-2,5
354444681398355987-356,6
3618953176082749245-737,7
4077654601012599143-12,8
4826080286115541867-1,9
4873162636782283370-2,10
5380928900283929874-910,11
5380928900283929874-911,12
6466608972615762110-1,13
6613819023930725824-2,14
6687439543670478425-166,15
6887093202949188116-149,16
7429927346313315356-266,17
7967517300296924691-45,18
8072569361262247593-300,19
8161070057306199808-500,20
821007399844484991-8,21
8310137866677220931-241,22
8528325654136960083-1589,23
8737483831219058760-832,24
8809320393385902649-397,25
8813410065406745416-392,26
8896515857385885030-1,27
1079399311052912651-3,28
1130966311900612509-99,29
1252308651370956951-2,30
1315792189296976289-327,31
202404832133707135-156,32
2659447251504799426-2,33
3263984952433392881-94,34
3771156169878185035-3,35
3804465934770616371-12,36
3934838949779132749-33,37
438869565226567303-2,38
4475130725888213976-347,39
4904578260825673665-531,40
5209112856942855225-212,41
5243592798547209063-794,42
5457837342214856868-285,43
5561438700813764013-1,44
6064854403102191098-39,45
6121974955629199777-1,46
6816686113304267725-673,47
6845814693172377690-423,48
684628070557570878-744,49
7123939303358281795-1,50
7743626659522960617-11,51
7844790215949141096-255,52
830599118384991303-7,53
8507027426693418926-62,54
8631471776259890134-202,55
8967602092846179286-613,56
9058796682654600043-1,57
9141241431738451634-314,58
944948649712571255-773,59
1028682516151363797-94,60
1116916318456812884-10,61
12671633996250507585-21,62
1391377197007375530-260,63
1692418386893320040-1,64
2236286096970471705-14,65
2611345567793350514-1,66
2613951968656171686-1391,67
2958641283387420021-1,68
3074325484374823023-718,69
3094389325398730780-9,70
3502999130775823568-572,71
3620579048808114693-541,72
3972427111986408696-16,73
4011022504149486888-55,74
4069170915315904684-5,75
4216524401360123136-120,76
4613028416238053822-172,77
473349184714119541-81,78
5052011620514885401-79,79
5315507885585911547-1243,80
5635020845029886699-5,81
5802188531299694096-408,82
6648339020292687730-79,83
665343431213695421-1,84
6857507767429452313-2,85
6857507767429452313-1,86
7348632209665547855-11,87
7869226466924107262-2,88
7988490355713579639-385,89
8282063791468223891-78,90
8450021313594420259-182,91
8995774467124879156-259,92
94469993281687269-1,93
12715195998857033949-148,94
1895748246116230894-219,95
1899734113208186449-253,96
23685848501142276-3,97
242290904954385227-1,98
2729728992552806907-330,99
326042483744373126-246,100
3369387482852908462-7,101
3533187450849530068-176,102
